nombre,generos,director,puntuacion,link_portada
The Shawshank Redemption,Drama,Frank Darabont,9.3,https://upload.wikimedia.org/wikipedia/en/8/81/ShawshankRedemptionMoviePoster.jpg
The Godfather,Crimen|Drama,Francis Ford Coppola,9.2,https://upload.wikimedia.org/wikipedia/en/1/1c/Godfather_ver1.jpg
The Dark Knight,Accion|Crimen|Drama,Christopher Nolan,9.0,https://upload.wikimedia.org/wikipedia/en/1/1c/The_Dark_Knight_%282008_film%29.jpg
The Godfather Part II,Crimen|Drama,Francis Ford Coppola,9.0,https://upload.wikimedia.org/wikipedia/en/0/03/Godfather_part_ii.jpg
Pulp Fiction,Crimen|Drama,Quentin Tarantino,8.9,https://upload.wikimedia.org/wikipedia/en/3/3b/Pulp_Fiction_%281994%29_poster.jpg
Schindlers List,Biografia|Drama|Historia,Steven Spielberg,8.9,https://upload.wikimedia.org/wikipedia/en/3/38/Schindler%27s_List_movie.jpg
Inception,Accion|Ciencia Ficcion|Aventura,Christopher Nolan,8.8,https://upload.wikimedia.org/wikipedia/en/2/2e/Inception_%282010%29_theatrical_poster.jpg
Fight Club,Drama,David Fincher,8.8,https://upload.wikimedia.org/wikipedia/en/f/fc/Fight_Club_poster.jpg
Forrest Gump,Drama|Romance,Robert Zemeckis,8.8,https://upload.wikimedia.org/wikipedia/en/6/67/Forrest_Gump_poster.jpg
The Matrix,Accion|Ciencia Ficcion,Lana Wachowski|Lilly Wachowski,8.7,https://www.themoviedb.org/t/p/original/dXNAPwY7VrqMAo51EKhhCJfaGb5.jpg
Goodfellas,Biografia|Crimen|Drama,Martin Scorsese,8.7,https://upload.wikimedia.org/wikipedia/en/7/7b/Goodfellas.jpg
One Flew Over the Cuckoos Nest,Drama,Milos Forman,8.7,https://upload.wikimedia.org/wikipedia/en/2/26/One_Flew_Over_the_Cuckoo%27s_Nest_poster.jpg
Seven,Crimen|Drama|Misterio,David Fincher,8.6,https://upload.wikimedia.org/wikipedia/en/6/68/Seven_%28movie%29_poster.jpg
Interstellar,Aventura|Drama|Ciencia Ficcion,Christopher Nolan,8.6,https://upload.wikimedia.org/wikipedia/en/b/bc/Interstellar_film_poster.jpg
Spirited Away,Animacion|Aventura|Fantasia,Hayao Miyazaki,8.6,https://m.media-amazon.com/images/M/MV5BNTEyNmEwOWUtYzkyOC00ZTQ4LTllZmUtMjk0Y2YwOGUzYjRiXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
The Silence of the Lambs,Crimen|Drama|Thriller,Jonathan Demme,8.6,https://upload.wikimedia.org/wikipedia/en/8/86/The_Silence_of_the_Lambs_poster.jpg
